Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
K & K Dressmaking,6039 W. Irving Park Rd.,West Irving Park,08/12/2016,42500.00,31875.00,"a tear off of the existing roof down to decking, repair decking as needed, install new insulation, rubber membrane and protective roof coating."
"Taurus Restaurant, Inc.",4024 N. Milwaukee Ave.,Portage Park,06/10/2016,66666.66,50000.00,"new stone sills and stone base and columns in storefront (existing facade brick to remain); new storefront windows, frames, and doors; replace basement concrete slab; install ceiling, insulation, and drywall in basement; replace existing wood stairs with steel stairs; framing for individual interior rooms on ground floor and in basement (seating area, bathrooms, kitchen/prep area, storage areas); insulation for ground floor space; install plumbing, HVAC, and electrical systems needed for retail food establishment operation; finish carpentry (includes drywall, trims, and doors but excludes bar build-out); interior lighting; new wood flooring; and painting"
Standard Equipment Company,2055 W. Walnut St.,Kinzie Industrial Corridor,06/10/2016,122519.78,59341.39,"interior reconstruction of the “Parts Room”: demolition work; carpentry and framing work with new insulation, drywall, plywood decking for ceiling, concrete blocks, and corrugated tin for ceilings; installation of four (4) new exterior windows and three (3) new doors; masonry and concrete work related to filling in old trench drain, creation of new walls, and creation of openings for above referenced windows with new steel lintels; electrical work for new “Parts Room” including fifteen (15) new light fixtures; HVAC work including installation of new split system to heat and cool with new ductwork; painting and finishing work; and installation of new trench drain in center aisle of main factory space"
Richardson Seating Corporation,2545 W. Arthington St.,Western/Ogden,06/13/2016,514263.00,150000.00,"complete replacement of the roofing system including demolition, decking replacement as needed, insulation, flashings and copings, and installation of a new single ply TPO membrane; masonry repairs (replacement of bricks at four-story tower parapets; tuck pointing of west warehouse roof parapets; rebuild exterior parapets at south, west, and east elevations; install new metal panels at rooftop ""penthouse"" walls and rebuild shifted walls; tuck pointing of the chimney)"
"Jefferson Park Grill, Inc.",5364 W. Gale St.,Jefferson Park,06/13/2016,9935.00,6483.75,"installation of two (2) straight, shed-style awnings with steel frames (canvases, lettering, logos, and netting expenses not included) and permit fees; installation of five (5) new outdoor goose neck light fixtures above awning and permit fees"
"Mid-West Wire Specialties, Inc.",4535-61 W. Cortland St.,Northwest Industrial Corridor,06/16/2016,354028.00,150000.00,"new roofing at 4535-61 W. Cortland: demolish existing upper and lower roofs; repair/replace roof decking as needed and associated tuck pointing as needed; furnish and install insulation and new roofing systems for upper and lower roof sections (new roofing membranes, new flashings, new curbs, new drains, new vents)"
Laminet Cover Co.,4900 W. Bloomingdale Ave.,Galewood/Armitage,06/22/2016,5921.00,2960.50,"a lighting retrofit with new lamps, ballasts, and T12 LEDs for 198 light fixtures throughout office and warehouse space"
Laminet Cover Co.,4900 W. Bloomingdale Ave.,Galewood/Armitage,06/22/2016,2473.06,1236.53,replace overhead garage door in rear of building
"2255 S. Wabash Ave., LLC",2255 S. Wabash Ave. ,24th/Michigan,07/01/2016,156500.00,78250.00,"complete roof tear off over 2 commercial spaces down to the decking, replace any damaged metal and wood decking, masonry work along the parapet wall as needed, install insulation, new flashings, new modified bitumen membrane, new gutters and downspouts, and apply reflective aluminum coating to roofing surface.
"
"O'Brien Metal, Inc.",1442 W. Willow St.,North Branch (South),07/01/2016,75900.00,37950.00,"install a fume exhaust system including filter bays along the back walls, a 3-port duct manifold connection on each bay, ductwork connecting to mounted roof fan, and all necessary electrical connections and improvements
"
Advanced Window Corp,4935 W. Le Moyne St.,North/Cicero,07/07/2016,32222.24,8800.00,"installation of two trench drains near overhead doors, cut and dispose of concrete, remove old trench drains and install new trench drains with new rebar, hook up to existing drain and lay new concrete. "
A-Wire Corporation dba AWC Industries,4817-29 W. Grand Ave.,Galewood/Armitage,07/07/2016,150320.00,75160.00,"demolish existing roof; repair/replace wood decking and rafters as needed; masonry repairs to parapet walls as needed; install two (2) layers of new foam insulation board to the roof deck; install a new modified bitumen roofing membrane; install flashings, pitch pans, and a new reflective aluminum coating; remove existing skylights; install new decking and rafters at former skylight openings; rooftop ventilation unit materials expenses"
"Grandstand, Ltd.",600 W. 35th St.,35th/Wallace,07/07/2016,11652.00,5831.25,furnish and install three (3) new awnings and demolition of old awnings; permit expenses
"Central Chapel, P.C.",6158 S. Central Ave.,Archer/Central,07/12/2016,60023.00,44315.78,"demolish existing doors and replace with four (4) new commercial door systems; furnish and install seven (7) new window systems for the commercial portion of the property only
"
"1240 N. Wells, Inc. dba Declan's Irish Pub",1240 N. Wells St.,Near North,07/12/2016,87325.00,59197.50,façade improvements (furnish and install new cornice and wood panel cladding below and at entryway columns); furnish and install five (5) new windows and sills at commercial/ground floor at south elevation; furnish and install two (2) new storefront windows and sills at east elevation ground floor; tuck point and related incidental masonry repairs in connection with installation of new windows; furnish and install new pavers at front commercial entry
"Subira Investment Group, Inc.",600-8 E. 61st St.,West Woodlawn,08/23/2016,12095.00,9071.25,furnish and install one (1) new commercial metal frame door and thirteen (13) new storefront windows and frames at 600-8 E. 61st St.
Bel-Ami Restaurant,5530 N. Lincoln Ave.,Lincoln Avenue,07/12/2016,118960.00,89220.00,"remove and replace roofing (demolition; remove and reset coping tiles as needed; install insulation; install new roofing system membrane and flashings); install new bi-fold door system at storefront including frames and glass; demolish existing stone and brick and front elevation and rebuild with new stone; tuck point rooftop parapet walls; install new door and window lintels and new window sills; remove and replace approx. 200 sf of ceramic tiles at restaurant, bathroom, and kitchen; remove existing restaurant lighting and replace with new LED sconce-style commercial fixtures; remove and replace rear exit door, two restroom doors, kitchen door, office door, storage room door, furnace room door, and entry door to hall; remove rooftop HVAC commercial units and replace with two (2) new HVAC units for the commercial space; and electrical for a new sign (signage costs not included)"
Burgundy Restaurant Inc.,5959 W. Irving Park Rd.,West Irving Park,07/13/2016,13650.00,10237.50,"remove existing composition roofing, gutters, and downspouts; install new base sheet and flash roof edges with new bitumen membrane; install new gutters; install new copings to front parapet walls; install new bitumen membrane patches as needed to areas of roof with water ponding, blisters, open corners, and cracks; seal with recaulking of metal counter-flashings against walls and around chimneys; install new reflective coating to roof; permit expenses"
